,subgraph_type,connection_prob,layers,StDev,nodes_per_layer,edges_per_layer,subgraph_prob,sample_size,modularity_top,avg_node_degree_top,avg_connect_within_bottom,avg_connect_between_top,modularity_middle,avg_node_degree_middle,avg_connect_within_middle,avg_connect_between_middle
0,small world,disc,3,0.1,"(5, 15, 300)","(0, 15, 358)",0.05,500,0.7999282169720043,1.1933333333333334,71.6,0.0,0.7712033020192876,1.1933333333333334,20.0,0.2761904761904762
1,small world,full,3,0.1,"(5, 15, 300)","(10, 25, 300)",0.05,500,0.686419169642232,1.38,73.4,2.35,0.6575678545590328,1.38,20.0,0.5428571428571428
2,scale free,disc,3,0.1,"(5, 15, 300)","(0, 10, 965)",0.05,500,0.7807973368412576,3.216666666666667,193.0,0.0,0.8745931434400922,3.216666666666667,61.333333333333336,0.21428571428571427
3,scale free,full,3,0.1,"(5, 15, 300)","(10, 20, 300)",0.05,500,0.7389014581821773,3.3366666666666664,191.6,2.15,0.8412666254824098,3.3366666666666664,61.333333333333336,0.38571428571428573
4,random graph,disc,3,0.1,"(5, 12, 167)","(0, 7, 129)",0.05,500,0.7885343428880477,0.7724550898203593,25.8,0.0,0.8133826092181959,0.7724550898203593,9.666666666666666,0.09848484848484848
5,random graph,full,3,0.1,"(5, 12, 167)","(10, 17, 167)",0.05,500,0.6627784879474069,0.8862275449101796,25.8,0.95,0.6969731555880205,0.8862275449101796,9.666666666666666,0.24242424242424243
