,Communities_Upper_Limit,Max_Modularity,Modularity,Reconstruction_A,Reconstruction_X,Metrics,Number_Predicted_Comms,Louvain_Modularity,Louvain_Metrics,Louvain_Predicted_comms
0,45.0,0.956,"(0.7554,)",0.7711,0.3104,"(0.7194, 1.0, 0.8368)","(6,)",0.8854,"{'Top': (1.0, 1.0, 1.0)}",10
1,45.0,0.956,"(0.8504,)",0.7757,0.3112,"(0.8853, 1.0, 0.9392)","(8,)",0.8854,"{'Top': (1.0, 1.0, 1.0)}",10
