,Communities_Upper_Limit,Max_Modularity,Modularity,Reconstruction_A,Reconstruction_X,Metrics,Number_Predicted_Comms,Louvain_Modularity,Louvain_Metrics,Louvain_Predicted_comms
0,42.0,0.9527,"(0.8482,)",0.7907,0.31,"(0.8704, 1.0, 0.9307)","(8,)",0.8891,"{'Top': (1.0, 1.0, 1.0)}",10
1,43.0,0.9532,"(0.6787,)",0.7944,0.3109,"(0.6183, 1.0, 0.7642)","(5,)",0.8885,"{'Top': (1.0, 1.0, 1.0)}",10
