,subgraph_type,connection_prob,layers,StDev,nodes_per_layer,edges_per_layer,subgraph_prob,sample_size,modularity_top,avg_node_degree_top,avg_connect_within_bottom,avg_connect_between_top,modularity_middle,avg_node_degree_middle,avg_connect_within_middle,avg_connect_between_middle
0,small world,disc,2,0.1,"(2, 6)","(0, 6)",0.05,500,0.5000000000000001,1.0,3.0,0.0,NA,NA,NA,NA
1,small world,disc,3,0.1,"(2, 6, 18)","(0, 6, 24)",0.05,500,0.5,1.3333333333333333,12.0,0.0,0.5833333333333334,1.3333333333333333,3.0,0.2
2,small world,full,2,0.1,"(2, 6)","(1, 7)",0.05,500,0.35714285714285715,1.1666666666666667,3.0,0.5,NA,NA,NA,NA
3,small world,full,3,0.1,"(2, 6, 18)","(1, 7, 18)",0.05,500,0.46,1.3888888888888888,12.0,0.5,0.5528,1.3888888888888888,3.0,0.23333333333333334
