CMDLINE /Users/jordandavis/miniconda3/envs/hgrnenv/bin/python /Users/jordandavis/Documents/HGRN_repo_fork/run_sim.py
MEM 629.750000 1755564750.6610
MEM 629.750000 1755564750.7623
MEM 629.750000 1755564750.8660
MEM 629.750000 1755564750.9712
MEM 629.750000 1755564751.0739
MEM 629.750000 1755564751.1783
MEM 670.890625 1755564751.2807
MEM 671.003906 1755564751.3842
MEM 671.058594 1755564751.4890
MEM 671.128906 1755564751.5893
MEM 671.152344 1755564751.6914
MEM 671.222656 1755564751.7965
MEM 671.289062 1755564751.8968
MEM 671.289062 1755564751.9976
MEM 671.277344 1755564752.1027
MEM 671.277344 1755564752.2059
MEM 671.277344 1755564752.3089
MEM 671.285156 1755564752.4117
MEM 671.308594 1755564752.5135
MEM 671.230469 1755564752.6137
MEM 671.250000 1755564752.7172
MEM 671.265625 1755564752.8223
MEM 671.265625 1755564752.9239
MEM 671.265625 1755564753.0291
MEM 671.265625 1755564753.1296
MEM 671.988281 1755564753.2340
MEM 677.417969 1755564753.3348
MEM 677.847656 1755564753.4393
MEM 678.269531 1755564753.5426
MEM 678.554688 1755564753.6469
MEM 678.679688 1755564753.7508
MEM 678.750000 1755564753.8521
MEM 686.574219 1755564753.9534
MEM 664.316406 1755564754.0556
MEM 658.359375 1755564754.1563
MEM 654.003906 1755564754.2617
MEM 662.183594 1755564754.3626
MEM 661.792969 1755564754.4646
MEM 658.347656 1755564754.5650
MEM 680.640625 1755564754.6679
MEM 677.507812 1755564754.7691
MEM 659.976562 1755564754.8724
MEM 684.832031 1755564754.9767
MEM 680.148438 1755564755.0808
MEM 661.980469 1755564755.1854
MEM 678.671875 1755564755.2900
MEM 669.800781 1755564755.3949
MEM 668.656250 1755564755.4966
MEM 661.511719 1755564755.6014
MEM 671.468750 1755564755.7037
MEM 672.734375 1755564755.8051
MEM 662.691406 1755564755.9055
MEM 680.769531 1755564756.0060
MEM 677.019531 1755564756.1070
MEM 664.101562 1755564756.2114
MEM 689.320312 1755564756.3151
MEM 684.972656 1755564756.4185
MEM 665.839844 1755564756.5208
MEM 677.921875 1755564756.6213
MEM 676.070312 1755564756.7223
MEM 674.437500 1755564756.8234
MEM 666.628906 1755564756.9276
MEM 687.425781 1755564757.0298
MEM 688.023438 1755564757.1303
MEM 668.914062 1755564757.2333
MEM 735.464844 1755564757.3356
MEM 717.683594 1755564757.4392
MEM 718.183594 1755564757.5424
MEM 718.968750 1755564757.6449
MEM 719.824219 1755564757.7456
MEM 720.742188 1755564757.8459
MEM 721.011719 1755564757.9480
MEM 721.171875 1755564758.0483
MEM 721.515625 1755564758.1496
MEM 721.687500 1755564758.2530
MEM 722.023438 1755564758.3581
MEM 722.238281 1755564758.4614
MEM 722.605469 1755564758.5623
MEM 722.949219 1755564758.6626
MEM 723.257812 1755564758.7637
MEM 698.269531 1755564758.8666
MEM 675.656250 1755564758.9685
MEM 675.992188 1755564759.0730
MEM 676.562500 1755564759.1781
MEM 677.203125 1755564759.2788
MEM 678.000000 1755564759.3823
MEM 696.820312 1755564759.4841
MEM 696.933594 1755564759.5893
MEM 697.136719 1755564759.6921
MEM 697.316406 1755564759.7957
MEM 697.433594 1755564759.9000
MEM 697.808594 1755564760.0010
MEM 698.507812 1755564760.1059
MEM 699.289062 1755564760.2109
MEM 699.976562 1755564760.3159
MEM 700.042969 1755564760.4170
MEM 700.121094 1755564760.5209
MEM 700.175781 1755564760.6250
MEM 700.316406 1755564760.7280
MEM 700.402344 1755564760.8324
MEM 701.066406 1755564760.9344
MEM 701.945312 1755564761.0358
MEM 702.640625 1755564761.1392
MEM 703.449219 1755564761.2441
MEM 704.285156 1755564761.3458
MEM 723.445312 1755564761.4503
MEM 723.625000 1755564761.5543
MEM 723.812500 1755564761.6559
MEM 724.031250 1755564761.7609
MEM 724.179688 1755564761.8618
MEM 724.886719 1755564761.9640
MEM 725.644531 1755564762.0652
MEM 726.457031 1755564762.1670
MEM 727.062500 1755564762.2673
MEM 727.117188 1755564762.3687
MEM 727.187500 1755564762.4724
MEM 727.269531 1755564762.5769
MEM 727.398438 1755564762.6806
MEM 727.468750 1755564762.7853
MEM 728.195312 1755564762.8896
MEM 730.929688 1755564762.9948
MEM 731.875000 1755564763.1000
MEM 732.703125 1755564763.2012
MEM 733.496094 1755564763.3059
MEM 754.164062 1755564763.4092
MEM 754.371094 1755564763.5124
MEM 755.066406 1755564763.6171
MEM 755.257812 1755564763.7189
MEM 755.640625 1755564763.8223
MEM 755.859375 1755564763.9268
MEM 756.449219 1755564764.0290
MEM 757.375000 1755564764.1336
MEM 758.226562 1755564764.2351
MEM 760.359375 1755564764.3393
MEM 760.382812 1755564764.4439
MEM 760.437500 1755564764.5454
MEM 760.496094 1755564764.6483
MEM 760.496094 1755564764.7525
MEM 760.574219 1755564764.8560
MEM 760.750000 1755564764.9600
MEM 760.914062 1755564765.0624
MEM 761.894531 1755564765.1640
MEM 762.355469 1755564765.2653
MEM 763.175781 1755564765.3681
MEM 764.011719 1755564765.4726
MEM 782.875000 1755564765.5746
MEM 783.109375 1755564765.6781
MEM 783.277344 1755564765.7826
MEM 783.554688 1755564765.8836
MEM 783.609375 1755564765.9855
MEM 783.609375 1755564766.0890
MEM 783.613281 1755564766.1911
MEM 784.175781 1755564766.2944
MEM 784.937500 1755564766.3973
MEM 785.050781 1755564766.5024
MEM 785.109375 1755564766.6060
MEM 785.156250 1755564766.7105
MEM 785.308594 1755564766.8148
MEM 785.433594 1755564766.9189
MEM 826.507812 1755564767.0191
MEM 826.648438 1755564767.1244
MEM 826.863281 1755564767.2288
MEM 826.914062 1755564767.3328
MEM 826.968750 1755564767.4336
MEM 827.109375 1755564767.5374
MEM 827.121094 1755564767.6390
MEM 827.167969 1755564767.7441
MEM 827.218750 1755564767.8459
MEM 827.218750 1755564767.9510
MEM 827.218750 1755564768.0546
MEM 827.218750 1755564768.1559
MEM 827.230469 1755564768.2602
MEM 827.230469 1755564768.3654
MEM 827.253906 1755564768.4706
MEM 827.273438 1755564768.5726
MEM 827.273438 1755564768.6775
MEM 827.285156 1755564768.7780
MEM 827.285156 1755564768.8819
MEM 827.285156 1755564768.9827
MEM 827.285156 1755564769.0858
MEM 868.492188 1755564769.1911
MEM 868.503906 1755564769.2948
MEM 868.535156 1755564769.3981
MEM 868.542969 1755564769.4999
MEM 868.570312 1755564769.6014
MEM 868.605469 1755564769.7024
MEM 868.691406 1755564769.8060
MEM 868.691406 1755564769.9107
MEM 868.691406 1755564770.0112
MEM 868.691406 1755564770.1116
MEM 868.652344 1755564770.2153
MEM 868.652344 1755564770.3160
MEM 868.671875 1755564770.4174
MEM 868.671875 1755564770.5227
MEM 868.695312 1755564770.6250
MEM 868.707031 1755564770.7277
MEM 868.707031 1755564770.8281
MEM 868.707031 1755564770.9292
MEM 868.707031 1755564771.0321
MEM 869.500000 1755564771.1373
MEM 874.738281 1755564771.2386
MEM 875.160156 1755564771.3417
MEM 875.417969 1755564771.4466
MEM 875.742188 1755564771.5518
MEM 875.871094 1755564771.6560
MEM 875.871094 1755564771.7614
MEM 876.023438 1755564771.8636
MEM 886.843750 1755564771.9640
MEM 884.187500 1755564772.0648
MEM 871.085938 1755564772.1691
MEM 899.363281 1755564772.2732
MEM 894.781250 1755564772.3779
MEM 876.042969 1755564772.4789
MEM 874.128906 1755564772.5822
MEM 890.609375 1755564772.6849
MEM 887.519531 1755564772.7893
MEM 877.640625 1755564772.8896
MEM 886.300781 1755564772.9946
MEM 882.468750 1755564773.0956
MEM 879.093750 1755564773.1959
MEM 901.109375 1755564773.2979
MEM 899.464844 1755564773.3983
MEM 881.019531 1755564773.4993
MEM 888.386719 1755564773.6033
MEM 889.363281 1755564773.7048
MEM 903.695312 1755564773.8086
MEM 894.781250 1755564773.9113
MEM 883.398438 1755564774.0158
MEM 903.097656 1755564774.1209
MEM 895.574219 1755564774.2228
MEM 885.953125 1755564774.3280
MEM 898.351562 1755564774.4294
MEM 895.308594 1755564774.5339
MEM 938.781250 1755564774.6343
MEM 956.722656 1755564774.7376
MEM 957.480469 1755564774.8425
MEM 958.023438 1755564774.9445
MEM 958.414062 1755564775.0472
MEM 963.203125 1755564775.1518
MEM 963.289062 1755564775.2560
MEM 963.332031 1755564775.3614
MEM 963.632812 1755564775.4617
MEM 963.718750 1755564775.5621
MEM 963.882812 1755564775.6623
MEM 964.351562 1755564775.7638
MEM 964.414062 1755564775.8671
MEM 964.511719 1755564775.9694
MEM 964.546875 1755564776.0731
MEM 964.554688 1755564776.1780
MEM 966.945312 1755564776.2789
MEM 968.187500 1755564776.3804
MEM 969.066406 1755564776.4813
MEM 969.250000 1755564776.5858
MEM 970.714844 1755564776.6879
MEM 970.781250 1755564776.7914
MEM 970.945312 1755564776.8943
MEM 971.097656 1755564776.9981
MEM 971.117188 1755564777.1033
MEM 971.136719 1755564777.2047
MEM 972.128906 1755564777.3051
MEM 972.203125 1755564777.4054
MEM 972.246094 1755564777.5107
MEM 972.328125 1755564777.6114
MEM 973.316406 1755564777.7118
MEM 973.734375 1755564777.8123
MEM 974.320312 1755564777.9160
MEM 983.246094 1755564778.0175
MEM 993.398438 1755564778.1227
MEM 993.566406 1755564778.2280
MEM 993.691406 1755564778.3323
MEM 998.398438 1755564778.4333
MEM 998.480469 1755564778.5337
MEM 998.515625 1755564778.6375
MEM 998.515625 1755564778.7382
MEM 999.324219 1755564778.8428
MEM 1000.203125 1755564778.9446
MEM 1000.460938 1755564779.0457
MEM 1001.273438 1755564779.1469
MEM 1023.050781 1755564779.2483
MEM 1023.285156 1755564779.3509
MEM 1023.566406 1755564779.4561
MEM 1023.902344 1755564779.5596
MEM 1024.210938 1755564779.6626
MEM 1024.445312 1755564779.7656
MEM 1025.339844 1755564779.8671
MEM 1025.667969 1755564779.9689
MEM 1025.761719 1755564780.0731
MEM 1025.835938 1755564780.1761
MEM 1025.847656 1755564780.2778
MEM 1026.023438 1755564780.3806
MEM 1026.585938 1755564780.4813
MEM 1026.632812 1755564780.5859
MEM 1026.714844 1755564780.6886
MEM 1026.750000 1755564780.7906
MEM 1026.769531 1755564780.8946
MEM 1026.835938 1755564780.9951
MEM 1032.195312 1755564781.0956
MEM 1037.742188 1755564781.1972
MEM 1088.031250 1755564781.2979
MEM 1129.152344 1755564781.3999
MEM 1129.292969 1755564781.5006
MEM 1129.308594 1755564781.6042
MEM 1129.316406 1755564781.7080
MEM 1129.316406 1755564781.8122
MEM 1129.652344 1755564781.9160
MEM 1129.699219 1755564782.0188
MEM 1129.734375 1755564782.1207
MEM 1129.734375 1755564782.2259
MEM 1129.742188 1755564782.3298
MEM 1129.742188 1755564782.4333
MEM 1129.765625 1755564782.5342
MEM 1129.765625 1755564782.6367
MEM 1129.785156 1755564782.7393
MEM 1129.785156 1755564782.8446
MEM 1129.804688 1755564782.9455
MEM 1129.824219 1755564783.0506
MEM 1129.824219 1755564783.1519
MEM 1129.843750 1755564783.2559
MEM 1129.843750 1755564783.3586
MEM 1129.859375 1755564783.4619
MEM 1129.847656 1755564783.5672
MEM 1129.847656 1755564783.6708
MEM 1129.847656 1755564783.7720
MEM 1129.847656 1755564783.8768
MEM 1129.859375 1755564783.9809
MEM 1129.816406 1755564784.0812
MEM 1129.816406 1755564784.1827
MEM 1129.816406 1755564784.2868
MEM 1124.992188 1755564784.3903
MEM 1124.992188 1755564784.4920
MEM 1124.992188 1755564784.5965
MEM 1124.992188 1755564784.7000
MEM 1124.980469 1755564784.8044
MEM 1124.980469 1755564784.9079
MEM 1124.980469 1755564785.0112
MEM 1124.980469 1755564785.1118
MEM 1124.980469 1755564785.2171
MEM 1124.980469 1755564785.3206
MEM 1124.980469 1755564785.4227
MEM 1124.980469 1755564785.5279
MEM 1124.980469 1755564785.6285
MEM 1124.980469 1755564785.7288
MEM 1124.074219 1755564785.8331
MEM 1124.074219 1755564785.9374
MEM 1124.804688 1755564786.0389
MEM 1125.316406 1755564786.1395
MEM 1126.175781 1755564786.2445
MEM 1127.929688 1755564786.3483
