,method,data_type,k_middle,k_top,graph_type,connect_type,stdev,modularity_mid,modularity_top,node_degree_within_middle,node_degree_between_middle,node_degree_within_top,node_degree_between_top
0,bethe_hessian,reg_balanced,14,7,small_world,full,01,0.5388648426096193,0.6790219628365262,196.2,8.99047619047619,857.0,27.3
1,silouette,reg_balanced,11,4,small_world,full,01,0.5388648426096193,0.6790219628365262,196.2,8.99047619047619,857.0,27.3
2,bethe_hessian,reg_balanced,13,7,small_world,full,01,0.5135356944037925,0.5757597070726274,197.66666666666666,9.980952380952381,790.8,55.35
3,silouette,reg_balanced,11,5,small_world,full,01,0.5135356944037925,0.5757597070726274,197.66666666666666,9.980952380952381,790.8,55.35
4,bethe_hessian,reg_balanced,13,7,small_world,full,01,0.480693207081568,0.4885448965464513,198.6,11.247619047619047,753.4,78.7
5,silouette,reg_balanced,10,5,small_world,full,01,0.480693207081568,0.4885448965464513,198.6,11.247619047619047,753.4,78.7
6,bethe_hessian,reg_balanced,10,5,small_world,full,01,0.3058485579976584,0.6261671507756759,195.73333333333332,23.004761904761907,1301.0,63.1
7,silouette,reg_balanced,19,12,small_world,full,01,0.3058485579976584,0.6261671507756759,195.73333333333332,23.004761904761907,1301.0,63.1
8,bethe_hessian,reg_balanced,10,5,small_world,full,01,0.3118528325222086,0.5548781482407488,193.53333333333333,22.19047619047619,1158.8,88.45
9,silouette,reg_balanced,17,5,small_world,full,01,0.3118528325222086,0.5548781482407488,193.53333333333333,22.19047619047619,1158.8,88.45
10,bethe_hessian,reg_balanced,12,6,small_world,full,01,0.3336606911822684,0.41919121747954113,195.53333333333333,19.82857142857143,903.6,128.95
11,silouette,reg_balanced,8,3,small_world,full,01,0.3336606911822684,0.41919121747954113,195.53333333333333,19.82857142857143,903.6,128.95
12,bethe_hessian,reg_balanced,12,6,small_world,full,01,0.41936266561860996,0.5448852268384334,197.93333333333334,14.347619047619048,905.0,72.85
13,silouette,reg_balanced,11,3,small_world,full,01,0.41936266561860996,0.5448852268384334,197.93333333333334,14.347619047619048,905.0,72.85
14,bethe_hessian,reg_balanced,11,6,small_world,full,01,0.3450157751047725,0.3973318960457858,196.93333333333334,19.49047619047619,845.4,141.0
15,silouette,reg_balanced,9,4,small_world,full,01,0.3450157751047725,0.3973318960457858,196.93333333333334,19.49047619047619,845.4,141.0
16,bethe_hessian,reg_balanced,11,6,small_world,full,01,0.3733381374783973,0.6280148420838061,195.46666666666667,17.19047619047619,1113.0,48.85
17,silouette,reg_balanced,10,5,small_world,full,01,0.3733381374783973,0.6280148420838061,195.46666666666667,17.19047619047619,1113.0,48.85
18,bethe_hessian,reg_balanced,12,6,small_world,full,01,0.4570610199533422,0.6470186467958661,195.4,12.423809523809524,950.4,39.4
19,silouette,reg_balanced,9,3,small_world,full,01,0.4570610199533422,0.6470186467958661,195.4,12.423809523809524,950.4,39.4
20,bethe_hessian,reg_balanced,12,6,small_world,full,01,0.4332104305772716,0.5879497913422513,192.93333333333334,13.585714285714285,913.2,59.05
21,silouette,reg_balanced,14,5,small_world,full,01,0.4332104305772716,0.5879497913422513,192.93333333333334,13.585714285714285,913.2,59.05
22,bethe_hessian,reg_balanced,9,5,small_world,full,01,0.2946919236731319,0.5358963237309793,192.53333333333333,23.97142857142857,1171.4,103.25
23,silouette,reg_balanced,15,9,small_world,full,01,0.2946919236731319,0.5358963237309793,192.53333333333333,23.97142857142857,1171.4,103.25
24,bethe_hessian,reg_balanced,12,6,small_world,full,01,0.41967568271147565,0.5571152665853111,197.8,14.528571428571428,918.8,71.2
25,silouette,reg_balanced,10,5,small_world,full,01,0.41967568271147565,0.5571152665853111,197.8,14.528571428571428,918.8,71.2
26,bethe_hessian,reg_balanced,13,7,small_world,full,01,0.4042341001805431,0.49164041761626304,195.8,14.914285714285715,866.8,86.75
27,silouette,reg_balanced,18,12,small_world,full,01,0.4042341001805431,0.49164041761626304,195.8,14.914285714285715,866.8,86.75
28,bethe_hessian,reg_balanced,14,7,small_world,full,01,0.5241750030370861,0.5667111096284675,198.86666666666667,9.49047619047619,770.0,56.3
29,silouette,reg_balanced,15,9,small_world,full,01,0.5241750030370861,0.5667111096284675,198.86666666666667,9.49047619047619,770.0,56.3
30,bethe_hessian,reg_balanced,14,7,small_world,full,01,0.5601265026011629,0.6874638349319117,197.06666666666666,8.280952380952382,839.6,24.85
