,subgraph_type,connection_prob,layers,StDev,nodes_per_layer,edges_per_layer,subgraph_prob,sample_size,modularity_top,avg_node_degree_top,avg_connect_within_bottom,avg_connect_between_top,modularity_middle,avg_node_degree_middle,avg_connect_within_middle,avg_connect_between_middle
0,small world,disc,3,0.1,"(5, 15, 300)","(0, 15, 354)",0.05,500,0.7998978582144342,1.18,70.8,0.0,0.7806944045453095,1.18,20.0,0.2571428571428571
1,small world,full,3,0.1,"(5, 15, 300)","(10, 25, 300)",0.05,500,0.6826967102401504,1.3933333333333333,73.8,2.45,0.6505832055126943,1.3933333333333333,20.0,0.5619047619047619
2,scale free,disc,3,0.1,"(5, 15, 300)","(0, 10, 964)",0.05,500,0.7786410357948383,3.2133333333333334,192.8,0.0,0.8748929297016236,3.2133333333333334,61.333333333333336,0.20952380952380953
3,scale free,full,3,0.1,"(5, 15, 300)","(10, 20, 300)",0.05,500,0.7268174688756004,3.3666666666666667,190.8,2.8,0.8324953435937654,3.3666666666666667,61.333333333333336,0.42857142857142855
4,random graph,disc,3,0.1,"(5, 12, 167)","(0, 7, 144)",0.05,500,0.7848186728395063,0.8622754491017964,28.8,0.0,0.7189429012345679,0.8622754491017964,9.666666666666666,0.21212121212121213
5,random graph,full,3,0.1,"(5, 12, 167)","(10, 17, 167)",0.05,500,0.6451315442809291,0.9760479041916168,27.8,1.2,0.6259174225601266,0.9760479041916168,9.666666666666666,0.3560606060606061
