,subgraph_type,connection_prob,layers,StDev,nodes_per_layer,edges_per_layer,subgraph_prob,sample_size,modularity_top,avg_node_degree_top,avg_connect_within_bottom,avg_connect_between_top,modularity_middle,avg_node_degree_middle,avg_connect_within_middle,avg_connect_between_middle
0,small world,disc,3,0.1,"(5, 15, 300)","(0, 15, 928)",0.05,500,0.7991439692330556,3.0933333333333333,185.6,0.0,0.25623966539090365,3.0933333333333333,20.0,2.9904761904761905
1,small world,full,3,0.1,"(5, 15, 300)","(10, 23, 300)",0.05,500,0.5323445231153684,4.083333333333333,179.6,16.35,0.1683118700541441,4.083333333333333,20.0,4.404761904761905
2,scale free,disc,3,0.1,"(5, 15, 300)","(0, 10, 1324)",0.05,500,0.7901922216847237,4.413333333333333,264.8,0.0,0.6222928893493123,4.413333333333333,61.333333333333336,1.9238095238095239
3,scale free,full,3,0.1,"(5, 15, 300)","(10, 22, 300)",0.05,500,0.5171215146696906,6.0633333333333335,263.0,25.2,0.4289416793778698,6.0633333333333335,61.333333333333336,4.280952380952381
4,random graph,disc,3,0.1,"(5, 12, 167)","(0, 7, 260)",0.05,500,0.7797928994082842,1.5568862275449102,52.0,0.0,0.3574112426035504,1.5568862275449102,9.666666666666666,1.0909090909090908
5,random graph,full,3,0.1,"(5, 12, 167)","(10, 17, 167)",0.05,500,0.29355702461404926,3.0419161676646707,51.4,12.55,0.1057935240870482,3.0419161676646707,9.666666666666666,2.9696969696969697
